name;cvc5-runtime;cvc5-result;z3-runtime;z3-result;z3-noodler-c0f3244-runtime;z3-noodler-c0f3244-result;z3-noodler-6e14cda-runtime;z3-noodler-6e14cda-result;z3-noodler-59658f7-runtime;z3-noodler-59658f7-result
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_132.smt2;0.05; sat;0.02; sat;0.03; sat;0.03; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_111.smt2;0.38; unsat;0.02; unsat;0.01; unsat;0.01; unsat;0.03; unsat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_78.smt2;0.01; sat;0.02; sat;0.03; sat;0.02; sat;0.03; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_29.smt2;0.05; sat;0.02; sat;0.03; sat;0.02; sat;0.02; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_141.smt2;0.06; sat;0.03; sat;0.03; sat;0.04; sat;0.01; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_120.smt2;0.06; sat;0.03; sat;2.29; sat;TO;TO;14.83; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_83.smt2;0.09; sat;0.07; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_198.smt2;0.05; sat;0.04; sat;0.04; sat;0.02; sat;0.04; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_61.smt2;0.04; sat;0.03; sat;TO;TO;TO;TO;TO;TO
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_157.smt2;0.06; sat;0.05; sat;0.04; sat;0.03; sat;0.06; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_151.smt2;0.05; sat;0.03; sat;15.87; sat;0.12; sat;0.13; sat
../formulae/QF_SLIA/20230329-woorpje-lu/track05/05_track_15.smt2;0.02; sat;0.04; sat;0.03; sat;0.01; sat;0.02; sat
